group_name,group_id
Пранкота с Евгением Вольновым,51591442
СТЫД,133180305
Your Story,144948719
БЕСИТ!,144796733
ЯЖЕМАТЬ!,143177265
Мир Историй,115608433
ВАМ ЖАЛКО ЧТО ЛИ?,145475900
ПОТРАЧЕНО,140129677
Rakamakafo Pranks,68198247
#ЖИТЬ,131498541
Палата №6 Пошлое,73756584
SMASH,2703292
Хардкор,119359773
Школьные истории,98075100
Пикабу,31480508
Radio Monte Carlo,128439867
Интересные Факты,346191
Литература,33874468
Литературный кайф,90983046
Демис Карибидис,27673535
Лепрозорий,65960786
Russian Rock Album,49874110
"Песни под гитару [Тексты, Аккорды, Прослушать]",41267923
Мода Метро Москвы,127065778
MultiTrackS - Бесплатные мультитреки сведение,86583264
Национальная служба новостей - НСН,55611432
Официальная страница  Радио Рекорд,23300381
Новое Радио,106042931
Радио Континенталь,31927043
Ed Sheeran,137518957
COMEDOZ,32358583
Братья Грим,103263943
СТАРЫЙ ПРИЯТЕЛЬ | ПУБЛИЧНАЯ СТРАНИЦА,30629875
Интеркорс Энтертеймент (прыгай киска),58477845
MEGAPOLIS FM,48564
Аудиокниги,73476
РАДИО DFM (РАДИО ДИ FM),89493
Relax FM,156922
Би-2,225666
АВТОРАДИО,383476
Творческое Объединение «Gazgolder»,1415705
